Nom,Position,Nationalité,Âge,Club,Valeur marchande,Chemin image
Folarin Balogun,Folarin Balogun,"United States, England",23,AS Monaco,€25.00m,joueurs_images\Folarin_Balogun.jpg
Edon Zhegrova,Edon Zhegrova,"Kosovo, Germany",25,LOSC Lille,€25.00m,joueurs_images\Edon_Zhegrova.jpg
Daniel Muñoz,Daniel Muñoz,Colombia,28,Crystal Palace,€25.00m,joueurs_images\Daniel_Muñoz.jpg
Facundo Medina,Facundo Medina,Argentina,25,RC Lens,€25.00m,joueurs_images\Facundo_Medina.jpg
Bafodé Diakité,Bafodé Diakité,"France, Guinea",24,LOSC Lille,€25.00m,joueurs_images\Bafodé_Diakité.jpg
Nahuel Molina,Nahuel Molina,Argentina,26,Atlético de Madrid,€25.00m,joueurs_images\Nahuel_Molina.jpg
Nikola Milenković,Nikola Milenković,Serbia,27,Nottingham Forest,€25.00m,joueurs_images\Nikola_Milenković.jpg
Angel Gomes,Angel Gomes,"England, Portugal",24,LOSC Lille,€25.00m,joueurs_images\Angel_Gomes.jpg
Kerem Aktürkoğlu,Kerem Aktürkoğlu,Türkiye,26,SL Benfica,€25.00m,joueurs_images\Kerem_Aktürkoğlu.jpg
Evan Ndicka,Evan Ndicka,"Cote d'Ivoire, France",25,AS Roma,€25.00m,joueurs_images\Evan_Ndicka.jpg
Dan Ndoye,Dan Ndoye,"Switzerland, Senegal",24,Bologna FC 1909,€25.00m,joueurs_images\Dan_Ndoye.jpg
Sean Longstaff,Sean Longstaff,England,27,Newcastle United,€25.00m,joueurs_images\Sean_Longstaff.jpg
Eddie Nketiah,Eddie Nketiah,"England, Ghana",25,Crystal Palace,€25.00m,joueurs_images\Eddie_Nketiah.jpg
Jonathan Burkardt,Jonathan Burkardt,Germany,24,1.FSV Mainz 05,€25.00m,joueurs_images\Jonathan_Burkardt.jpg
Malcom,Malcom,"Brazil, Russia",27,Al-Hilal SFC,€25.00m,joueurs_images\Malcom.jpg
Mathias Jensen,Mathias Jensen,Denmark,29,Brentford FC,€25.00m,joueurs_images\Mathias_Jensen.jpg
David Raum,David Raum,Germany,26,RB Leipzig,€25.00m,joueurs_images\David_Raum.jpg
Kevin Danso,Kevin Danso,Austria,26,Tottenham Hotspur,€25.00m,joueurs_images\Kevin_Danso.jpg
Rodrigo De Paul,Rodrigo De Paul,"Argentina, Italy",30,Atlético de Madrid,€25.00m,joueurs_images\Rodrigo_De_Paul.jpg
Alex Iwobi,Alex Iwobi,"Nigeria, England",28,Fulham FC,€25.00m,joueurs_images\Alex_Iwobi.jpg
